Category,pslist.nproc,pslist.avg_threads,dlllist.ndlls,handles.nhandles,handles.nport,ldrmodules.not_in_load_avg,malfind.ninjections,Class
Benign,40,13.35,2081,12196,0,0.036591237,5,Benign
Benign,43,13.23255814,2223,12888,0,0.036429872,5,Benign
Benign,56,12.28571429,2633,15079,0,0.04,12,Benign
Benign,40,13.3,2081,12193,0,0.036591237,5,Benign
Benign,43,13.1627907,2223,12877,0,0.036429872,5,Benign
Benign,55,12.65454545,2623,15446,0,0.040150094,12,Benign
Benign,32,12.8125,1513,9134,0,0.041039672,3,Benign
Benign,40,13.25,2081,12195,0,0.036591237,5,Benign
Benign,43,13.09302326,2223,12872,0,0.036429872,5,Benign
Benign,40,13.65,2006,12032,0,0.035732517,4,Benign
Benign,57,12.24561404,2623,15475,0,0.040869891,12,Benign
Benign,40,13.15,2081,12180,0,0.036591237,5,Benign
Benign,42,13.23809524,2177,12705,0,0.036761284,5,Benign
Benign,56,11.35714286,2508,14763,0,0.041273585,12,Benign
Benign,40,13.325,2081,12228,0,0.036591237,5,Benign
Benign,42,13.21428571,2177,12705,0,0.036761284,5,Benign
Benign,60,10.85,2656,15482,0,0.040430267,12,Benign
Benign,40,13.575,2081,12339,0,0.036591237,5,Benign
Benign,42,13.0952381,2177,12689,0,0.036761284,5,Benign
Benign,47,11.44680851,2090,11434,0,0.036499766,12,Benign
Benign,38,15.26315789,1880,11149,0,0.027440633,4,Benign
Benign,39,12.82051282,1808,10080,0,0.022099448,3,Benign
Benign,60,10.5,2683,15373,0,0.040381791,12,Benign
Benign,41,14.09756098,2148,12801,0,0.04037123,6,Benign
Benign,44,12.75,2232,13040,0,0.03584392,6,Benign
Benign,54,11.64814815,2582,14794,0,0.040777439,12,Benign
Benign,41,14.07317073,2148,12820,0,0.04037123,6,Benign
Benign,44,12.84090909,2232,13050,0,0.03584392,6,Benign
Benign,65,10.73846154,2995,16399,0,0.038398425,12,Benign
Benign,41,14.04878049,2148,12788,0,0.04037123,6,Benign
Benign,44,12.86363636,2232,13049,0,0.03584392,6,Benign
Benign,54,11.90740741,2585,14815,0,0.04109589,11,Benign
Benign,41,14.07317073,2148,12794,0,0.04037123,6,Benign
Benign,44,12.90909091,2232,13046,0,0.03584392,6,Benign
Benign,64,11.234375,2997,16385,0,0.039003605,11,Benign
Benign,42,13.88095238,2205,13040,0,0.040198735,6,Benign
Benign,44,12.93181818,2232,13043,0,0.03584392,6,Benign
Benign,63,11.3968254,2973,16429,0,0.038677686,11,Benign
Benign,42,13.69047619,2205,12932,0,0.040198735,6,Benign
Benign,43,13.25581395,2234,12996,0,0.036684783,5,Benign
Benign,63,11.47619048,2998,16445,0,0.038675844,11,Benign
Benign,42,13.66666667,2205,12913,0,0.040198735,6,Benign
Benign,43,13.13953488,2234,12982,0,0.036684783,5,Benign
Benign,64,11.390625,3052,16774,0,0.038312943,11,Benign
Benign,32,12.21875,1466,8859,0,0.037642045,2,Benign
Benign,41,13.75609756,2148,12641,0,0.04037123,6,Benign
Benign,43,13.13953488,2234,12955,0,0.036684783,5,Benign
Benign,41,13.24390244,2073,12204,0,0.035502959,4,Benign
Benign,64,11.296875,3054,16781,0,0.03859762,11,Benign
Benign,32,12.21875,1466,8856,0,0.037642045,2,Benign
Benign,41,13.82926829,2148,12662,0,0.04037123,6,Benign
Benign,42,13.28571429,2177,12696,0,0.036761284,5,Benign
Benign,41,13.12195122,2073,12175,0,0.035502959,4,Benign
Benign,64,11.046875,3011,16581,0,0.03883812,11,Benign
Benign,41,13.65853659,2148,12631,0,0.04037123,6,Benign
Benign,42,13.23809524,2177,12701,0,0.036761284,5,Benign
Benign,47,11.36170213,2086,11567,0,0.036585366,11,Benign
Benign,40,14.95,1981,11795,0,0.026130653,4,Benign
Benign,40,13.15,1812,10481,0,0.022087245,3,Benign
Benign,64,10.921875,3011,16518,0,0.03883812,11,Benign
Benign,41,13.48780488,2149,12619,0,0.040352505,6,Benign
Benign,42,13.11904762,2177,12673,0,0.036761284,5,Benign
Benign,66,10.66666667,3074,16883,0,0.038363171,11,Benign
Benign,41,13.48780488,2149,12622,0,0.040352505,6,Benign
Benign,42,13.0952381,2177,12670,0,0.036761284,5,Benign
Benign,68,9.867647059,3050,16498,0,0.038374718,11,Benign
Benign,41,13.46341463,2149,12610,0,0.040797404,6,Benign
Benign,42,13.0952381,2177,12662,0,0.036761284,5,Benign
Benign,66,10.59090909,3087,16712,0,0.037886024,12,Benign
Benign,41,13.56097561,2149,12615,0,0.040352505,6,Benign
Benign,42,13.14285714,2179,12699,0,0.036727104,5,Benign
Benign,70,10.17142857,3243,17269,0,0.037230769,13,Benign
Benign,41,13.58536585,2149,12641,0,0.040352505,6,Benign
Benign,43,13.04651163,2207,12804,0,0.036697248,5,Benign
Benign,68,10.41176471,3117,16824,0,0.03837544,13,Benign
Benign,41,13.6097561,2149,12619,0,0.040352505,6,Benign
Benign,42,13.33333333,2179,12721,0,0.03627907,5,Benign
Benign,70,10.24285714,2995,16668,0,0.039039039,13,Benign
Benign,41,13.58536585,2149,12624,0,0.040352505,6,Benign
Benign,42,13.33333333,2179,12720,0,0.03627907,5,Benign
Benign,71,10.08450704,3008,16671,0,0.04047777,13,Benign
Benign,41,13.6097561,2149,12625,0,0.040352505,6,Benign
Benign,42,13.4047619,2179,12732,0,0.03627907,5,Benign
Benign,71,9.718309859,3006,16653,0,0.042094796,14,Benign
Benign,41,13.6097561,2149,12628,0,0.040352505,6,Benign
Benign,42,13.30952381,2179,12705,0,0.03627907,5,Benign
Benign,70,9.628571429,2951,16248,0,0.043551654,13,Benign
Benign,41,13.53658537,2149,12609,0,0.040352505,6,Benign
Benign,42,13.14285714,2179,12677,0,0.03627907,5,Benign
Benign,48,11.08333333,2115,11629,0,0.036178108,12,Benign
Benign,40,14.475,1988,11743,0,0.026566416,4,Benign
Benign,42,13.11904762,1927,11177,0,0.022326064,3,Benign
Benign,70,9.142857143,2772,15309,0,0.044684685,12,Benign
Benign,41,13.53658537,2149,12600,0,0.040352505,6,Benign
Benign,42,13.02380952,2179,12660,0,0.03627907,5,Benign
Benign,68,9.058823529,2613,14511,0,0.041201386,12,Benign
Benign,41,13.41463415,2149,12576,0,0.040352505,6,Benign
Benign,42,13.04761905,2173,12644,0,0.036380597,5,Benign
Benign,55,11,2557,14283,0,0.04153605,12,Benign
Benign,41,13.3902439,2149,12561,0,0.040352505,6,Benign
Benign,42,13.04761905,2173,12645,0,0.036380597,5,Benign
Benign,59,11.08474576,2881,15712,0,0.03950104,15,Benign
Benign,39,12.46153846,1881,10746,0,0.036976618,4,Benign
Benign,41,13.51219512,2171,12615,0,0.040825688,6,Benign
Benign,42,13.07142857,2173,12652,0,0.036380597,5,Benign
Benign,41,13.43902439,2133,12605,0,0.035868006,5,Benign
Benign,62,10.48387097,2682,14660,0,0.040029929,16,Benign
Benign,41,13.51219512,2171,12620,0,0.040825688,6,Benign
Benign,42,13.4047619,2195,12832,0,0.036900369,5,Benign
Benign,52,10.94230769,2221,12623,0,0.037357631,6,Benign
Benign,39,12.38461538,1884,10776,0,0.037438958,4,Benign
Benign,41,13.43902439,2171,12603,0,0.040825688,6,Benign
Benign,42,13.73809524,2195,12949,0,0.036900369,5,Benign
Benign,40,13.85,2060,12448,0,0.032852165,4,Benign
Benign,55,10.87272727,2385,13490,0,0.035986452,6,Benign
Benign,41,13.41463415,2171,12594,0,0.040825688,6,Benign
Benign,42,13.76190476,2195,12949,0,0.036900369,5,Benign
Benign,53,11.41509434,2345,13390,0,0.036191297,6,Benign
Benign,41,13.85365854,2180,12822,0,0.040657835,6,Benign
Benign,42,13.66666667,2195,12931,0,0.036900369,5,Benign
Benign,57,10.92982456,2469,13921,0,0.035539216,6,Benign
Benign,40,13.65,2064,12180,0,0.039690223,5,Benign
Benign,42,13.71428571,2195,12921,0,0.036900369,5,Benign
Benign,52,10.90384615,2287,12826,0,0.036693192,6,Benign
Benign,40,13.725,2064,12186,0,0.039690223,5,Benign
Benign,42,13.64285714,2195,12908,0,0.036900369,5,Benign
Benign,48,11.10416667,2135,11749,0,0.035862069,12,Benign
Benign,41,14.19512195,2050,11929,0,0.026686075,4,Benign
Benign,42,13.42857143,1961,11342,0,0.022506394,3,Benign
Benign,50,11.16,2223,12468,0,0.037323623,5,Benign
Benign,40,13.75,2064,12181,0,0.039690223,5,Benign
Benign,42,13.5,2195,12890,0,0.036900369,5,Benign
Benign,51,10.92156863,2255,12480,0,0.037219731,5,Benign
Benign,40,13.75,2064,12171,0,0.039690223,5,Benign
Benign,42,13.47619048,2195,12885,0,0.036900369,5,Benign
Benign,55,11.25454545,2498,13646,0,0.039389068,7,Benign
Benign,40,13.525,2064,12017,0,0.039225182,5,Benign
Benign,42,13.47619048,2195,12882,0,0.036900369,5,Benign
Benign,54,11.2037037,2433,13369,0,0.040049546,7,Benign
Benign,40,13.375,2064,11992,0,0.039225182,5,Benign
Benign,42,13.35714286,2195,12861,0,0.03645593,5,Benign
Benign,57,11.78947368,2634,14581,0,0.041729894,13,Benign
Benign,40,13.25,2064,11978,0,0.039225182,5,Benign
Benign,42,13.21428571,2195,12854,0,0.03645593,5,Benign
Benign,57,11.70175439,2635,14582,0,0.042440318,13,Benign
Benign,40,13.225,2064,11964,0,0.039225182,5,Benign
Benign,42,13.26190476,2195,12858,0,0.03645593,5,Benign
Benign,57,11.49122807,2635,14501,0,0.042440318,13,Benign
Benign,40,13.25,2064,11978,0,0.039225182,5,Benign
Benign,42,13.28571429,2195,12849,0,0.03645593,5,Benign
Benign,57,11.40350877,2635,14509,0,0.042440318,13,Benign
Benign,39,12.41025641,1906,10806,0,0.036519871,4,Benign
Benign,40,13.05,2064,11959,0,0.039225182,5,Benign
Benign,42,13.35714286,2195,12860,0,0.03645593,5,Benign
Benign,40,13.475,2038,12132,0,0.035158212,4,Benign
Benign,56,11.55357143,2626,14466,0,0.042585551,13,Benign
Benign,40,13.05,2064,11953,0,0.039225182,5,Benign
Benign,42,13.26190476,2195,12845,0,0.03645593,5,Benign
Benign,55,11.07272727,2593,14135,0,0.042758089,12,Benign
Benign,40,13.1,2064,11963,0,0.039225182,5,Benign
Benign,42,13.30952381,2194,12846,0,0.036472761,5,Benign
Benign,48,11.10416667,2135,11741,0,0.035862069,12,Benign
Benign,41,14.29268293,2070,12097,0,0.026480501,4,Benign
Benign,43,14.11627907,2110,12351,0,0.025604552,4,Benign
Benign,55,10.98181818,2593,14091,0,0.042758089,12,Benign
Benign,40,13.075,2064,11954,0,0.039225182,5,Benign
Benign,42,13.35714286,2194,12863,0,0.036472761,5,Benign
Benign,55,11.07272727,2593,14113,0,0.042758089,12,Benign
Benign,39,13.46153846,1992,11811,0,0.036290323,4,Benign
Benign,42,13.30952381,2194,12859,0,0.036472761,5,Benign
Benign,55,11.05454545,2593,14123,0,0.042758089,12,Benign
Benign,40,13.225,2044,12007,0,0.038668625,5,Benign
Benign,42,13.35714286,2194,12868,0,0.036472761,5,Benign
Benign,52,11.13461538,2418,13280,0,0.040697674,8,Benign
Benign,40,13.25,2044,11996,0,0.038668625,5,Benign
Benign,42,13.28571429,2194,12851,0,0.036472761,5,Benign
Benign,51,11.35294118,2391,13220,0,0.037926675,7,Benign
Benign,40,13.2,2058,12052,0,0.038872692,5,Benign
Benign,42,13.28571429,2194,12846,0,0.036472761,5,Benign
Benign,49,11.16326531,2230,12430,0,0.037658802,6,Benign
Benign,40,13.375,2055,12114,0,0.039396887,5,Benign
Benign,42,13.23809524,2194,12844,0,0.036472761,5,Benign
Benign,49,11.26530612,2230,12432,0,0.037658802,6,Benign
Benign,42,13.85714286,2193,12946,0,0.040417802,7,Benign
Benign,42,13.26190476,2194,12854,0,0.036472761,5,Benign
Benign,49,11.28571429,2230,12462,0,0.037658802,6,Benign
Benign,42,13.85714286,2193,12949,0,0.040417802,7,Benign
Benign,42,13.4047619,2194,12862,0,0.036472761,5,Benign
Benign,51,11.45098039,2296,12790,0,0.038715354,7,Benign
Benign,41,12.58536585,2030,11512,0,0.037148594,7,Benign
Benign,44,13.45454545,2252,13301,0,0.039363114,8,Benign
Benign,42,13.30952381,2194,12856,0,0.036472761,5,Benign
Benign,37,14.10810811,1855,11246,0,0.031719533,3,Benign
Benign,53,11.67924528,2437,13658,0,0.036837748,9,Benign
Benign,44,13.47727273,2252,13297,0,0.039363114,8,Benign
Benign,42,13.26190476,2194,12845,0,0.036472761,5,Benign
Benign,48,11.0625,2128,11669,0,0.037309995,13,Benign
Benign,55,13.10909091,2502,14948,0,0.02739726,7,Benign
Benign,43,14.04651163,2135,12500,0,0.02525725,5,Benign
Benign,44,13.81818182,2134,12418,0,0.024929445,4,Benign
Benign,45,14.13333333,2226,12883,0,0.027334852,6,Benign
Benign,51,11.49019608,2297,12979,0,0.036563877,7,Benign
Benign,44,13.36363636,2252,13154,0,0.039363114,8,Benign
Benign,42,13.64285714,2194,12929,0,0.036472761,5,Benign
Benign,52,11.30769231,2341,13094,0,0.036285097,7,Benign
Benign,44,13.02272727,2252,13096,0,0.039363114,8,Benign
Benign,41,13.53658537,2078,12298,0,0.035242291,4,Benign
Benign,50,11.66,2232,12791,0,0.036839769,6,Benign
Benign,44,13.02272727,2252,13104,0,0.039363114,8,Benign
Benign,42,13.57142857,2085,12451,0,0.034179688,4,Benign
Benign,52,11.34615385,2297,13018,0,0.037052994,6,Benign
Benign,42,13.47619048,2195,12762,0,0.040381125,7,Benign
Benign,42,13.5,2085,12424,0,0.034179688,4,Benign
Benign,49,11.59183673,2207,12450,0,0.038547736,5,Benign
Benign,42,13.42857143,2195,12769,0,0.040381125,7,Benign
Benign,42,13.52380952,2085,12413,0,0.034179688,4,Benign
Benign,48,11.66666667,2169,12366,0,0.037899543,5,Benign
Benign,42,12.64285714,2147,12034,0,0.038279773,9,Benign
Benign,42,13.42857143,2195,12759,0,0.040381125,7,Benign
Benign,42,13.4047619,2085,12386,0,0.034179688,4,Benign
Benign,41,13.6097561,2049,12364,0,0.030576441,3,Benign
Benign,50,11.94,2232,12980,0,0.037267081,5,Benign
Benign,42,13.4047619,2195,12744,0,0.040381125,7,Benign
Benign,42,13.4047619,2085,12349,0,0.034179688,4,Benign
Benign,42,10.92857143,1805,10369,0,0.041231446,4,Benign
Benign,42,13.35714286,2195,12718,0,0.040381125,7,Benign
Benign,42,13.19047619,2085,12321,0,0.034179688,4,Benign
Benign,45,10.46666667,1922,11029,0,0.039235932,6,Benign
Benign,42,13.33333333,2195,12714,0,0.040381125,7,Benign
Benign,42,13.19047619,2085,12323,0,0.034179688,4,Benign
Benign,44,10.47727273,1870,10756,0,0.039808917,5,Benign
Benign,42,13.42857143,2193,12767,0,0.040834846,7,Benign
Benign,41,13.3902439,2044,12187,0,0.0315,3,Benign
Benign,49,11.16326531,2186,12033,0,0.037634409,14,Benign
Benign,44,13.90909091,2159,12795,0,0.025462963,5,Benign
Benign,43,13.95348837,2133,12419,0,0.024988213,4,Benign
Benign,45,10.51111111,1941,11025,0,0.042769857,6,Benign
Benign,42,13.4047619,2193,12768,0,0.040834846,7,Benign
Benign,42,13.19047619,2080,12312,0,0.034263338,4,Benign
Benign,46,10.30434783,1988,11135,0,0.042246521,6,Benign
Benign,42,13.61904762,2194,12798,0,0.040816327,7,Benign
Benign,42,13.0952381,2080,12293,0,0.034263338,4,Benign
Benign,47,10.4893617,2053,11414,0,0.04506232,7,Benign
Benign,42,13.85714286,2194,12930,0,0.040816327,7,Benign
Benign,42,13.07142857,2080,12272,0,0.034263338,4,Benign
Benign,45,10.64444444,1988,11000,0,0.046511628,6,Benign
Benign,41,13.97560976,2157,12800,0,0.040627886,6,Benign
Benign,42,13.11904762,2080,12282,0,0.034263338,4,Benign
Benign,45,10.77777778,1989,11029,0,0.046488625,6,Benign
Benign,41,13.90243902,2157,12760,0,0.040627886,6,Benign
Benign,42,13.07142857,2080,12276,0,0.034263338,4,Benign
Benign,45,10.77777778,1989,11025,0,0.046488625,6,Benign
Benign,41,13.80487805,2157,12791,0,0.040627886,6,Benign
Benign,42,12.95238095,2080,12253,0,0.034263338,4,Benign
Benign,45,10.57777778,1989,10986,0,0.046488625,6,Benign
Benign,41,13.70731707,2157,12775,0,0.040627886,6,Benign
Benign,42,12.92857143,2080,12251,0,0.034263338,4,Benign
Benign,45,10.51111111,1989,10972,0,0.046488625,6,Benign
Benign,41,13.51219512,2157,12721,0,0.040627886,6,Benign
Benign,41,13.2195122,2039,12203,0,0.031578947,3,Benign
Benign,45,10.37777778,1989,10928,0,0.046488625,6,Benign
Benign,41,13.53658537,2157,12716,0,0.040627886,6,Benign
Benign,42,13.30952381,2102,12460,0,0.034833091,4,Benign
Benign,45,10.35555556,1989,10924,0,0.046488625,6,Benign
Benign,41,13.34146341,2157,12665,0,0.040627886,6,Benign
Benign,42,13.23809524,2103,12457,0,0.034816248,4,Benign
Benign,47,11.06382979,2099,11576,0,0.035563875,12,Benign
Benign,46,13.41304348,2222,13002,0,0.02476362,5,Benign
Benign,45,13.6,2186,12650,0,0.024907749,4,Benign
Benign,45,10.33333333,1989,10917,0,0.046488625,6,Benign
Benign,41,13.29268293,2157,12654,0,0.040627886,6,Benign
Benign,41,13.43902439,2065,12336,0,0.03546798,4,Benign
Benign,45,10.24444444,1989,10902,0,0.046488625,6,Benign
Benign,42,13.19047619,2203,12848,0,0.0402169,6,Benign
Benign,41,13.51219512,2065,12334,0,0.03546798,4,Benign
Benign,45,10.08888889,1989,10878,0,0.046488625,6,Benign
Benign,42,13.30952381,2203,12877,0,0.0402169,6,Benign
Benign,41,13.43902439,2065,12319,0,0.03546798,4,Benign
Benign,45,10.11111111,1989,10877,0,0.046488625,6,Benign
Benign,45,10.08888889,1989,10876,0,0.046488625,6,Benign
Benign,42,13.38095238,2203,12894,0,0.0402169,6,Benign
Benign,42,13.19047619,2090,12347,0,0.035505837,4,Benign
Benign,45,10.15555556,1989,10877,0,0.046488625,6,Benign
Benign,42,13.28571429,2203,12861,0,0.0402169,6,Benign
Benign,42,13.11904762,2090,12326,0,0.035505837,4,Benign
Benign,42,10.61904762,1824,10342,0,0.041326808,4,Benign
Benign,42,13.21428571,2203,12832,0,0.0402169,6,Benign
Benign,42,12.97619048,2090,12299,0,0.035505837,4,Benign
Benign,42,10.61904762,1824,10342,0,0.041326808,4,Benign
Benign,42,13.23809524,2203,12834,0,0.0402169,6,Benign
Benign,42,12.95238095,2090,12295,0,0.035505837,4,Benign
Benign,41,10.73170732,1782,10204,0,0.040691193,3,Benign
Benign,42,13.23809524,2203,12838,0,0.0402169,6,Benign
Benign,42,12.78571429,2090,12263,0,0.035505837,4,Benign
Benign,40,10.85,1736,10077,0,0.041213509,3,Benign
Benign,42,13.07142857,2203,12818,0,0.0402169,6,Benign
Benign,42,12.78571429,2090,12265,0,0.035505837,4,Benign
Benign,48,10.8125,1869,9997,0,0.029641186,3,Benign
Benign,22,16.27272727,923,5313,0,0.021231423,1,Benign
Benign,22,16.40909091,919,5262,0,0.021321962,1,Benign
Benign,48,11.10416667,2148,11785,0,0.036023712,13,Benign
Benign,45,13.4,2162,12737,0,0.025304592,5,Benign
Benign,45,13.26666667,2186,12542,0,0.024628253,4,Benign
Benign,41,10.92682927,1808,10377,0,0.044310722,4,Benign
Benign,44,12.18181818,2033,11782,0,0.032729104,3,Benign
Benign,42,12.92857143,2158,12648,0,0.040627886,6,Benign
Benign,42,12.73809524,2090,12250,0,0.035505837,4,Benign
Benign,42,12.73809524,2069,12232,0,0.030784508,3,Benign
Benign,41,10.75609756,1808,10362,0,0.044310722,4,Benign
Benign,41,13.2195122,2157,12641,0,0.040627886,6,Benign
Benign,42,12.76190476,2090,12265,0,0.035505837,4,Benign
Benign,40,10.725,1736,10100,0,0.041213509,3,Benign
Benign,41,13.26829268,2157,12651,0,0.040627886,6,Benign
Benign,42,12.88095238,2090,12289,0,0.035505837,4,Benign
Benign,41,10.56097561,1802,10310,0,0.043931906,4,Benign
Benign,44,12.29545455,2033,11868,0,0.032729104,3,Benign
Benign,40,13.675,2093,12388,0,0.037744864,5,Benign
Benign,42,12.9047619,2090,12285,0,0.035505837,4,Benign
Benign,44,12.45454545,2028,12093,0,0.030980193,3,Benign
Benign,41,10.7804878,1796,10319,0,0.04070407,3,Benign
Benign,39,13.74358974,2019,12004,0,0.034345445,4,Benign
Benign,42,12.88095238,2090,12269,0,0.035505837,4,Benign
Benign,40,10.725,1746,10125,0,0.040770102,3,Benign
Benign,40,13.475,2020,12174,0,0.035767511,4,Benign
Benign,42,12.85714286,2090,12258,0,0.035505837,4,Benign
Benign,41,11,1777,10411,0,0.041133963,3,Benign
Benign,40,13.725,2092,12387,0,0.037762906,5,Benign
Benign,42,12.83333333,2090,12265,0,0.035505837,4,Benign
Benign,41,11.26829268,1823,10641,0,0.044768069,4,Benign
Benign,40,13.65,2092,12383,0,0.037762906,5,Benign
Benign,42,12.80952381,2090,12265,0,0.035505837,4,Benign
Benign,41,11.24390244,1823,10632,0,0.044768069,4,Benign
Benign,40,13.925,2092,12448,0,0.037762906,5,Benign
Benign,42,12.76190476,2090,12255,0,0.035505837,4,Benign
Benign,41,11.2195122,1823,10628,0,0.044768069,4,Benign
Benign,40,13.825,2092,12407,0,0.037762906,5,Benign
Benign,42,12.69047619,2090,12244,0,0.035505837,4,Benign
Benign,48,11.02083333,2148,11769,0,0.036023712,13,Benign
Benign,44,12.88636364,2129,12450,0,0.025459689,5,Benign
Benign,42,13.5952381,2068,11940,0,0.026031434,3,Benign
Benign,41,11.41463415,1822,10631,0,0.044792229,4,Benign
Benign,40,13.825,2092,12294,0,0.037762906,5,Benign
Benign,42,12.66666667,2090,12238,0,0.035505837,4,Benign
Benign,41,11.41463415,1822,10661,0,0.044792229,4,Benign
Benign,40,13.55,2092,12241,0,0.037762906,5,Benign
Benign,42,12.69047619,2090,12244,0,0.035505837,4,Benign
Benign,41,13,2025,12037,0,0.030980193,3,Benign
Benign,40,11.2,1749,10326,0,0.041784303,3,Benign
Benign,41,13.02439024,1988,11823,0,0.033453423,3,Benign
Benign,41,13.65853659,2141,12458,0,0.038246269,5,Benign
Benign,43,12.74418605,2141,12455,0,0.036018957,4,Benign
Benign,41,13,2025,12035,0,0.030980193,3,Benign
Benign,41,11.24390244,1821,10619,0,0.045331894,4,Benign
Benign,42,13.57142857,2105,12564,0,0.034365924,4,Benign
Benign,41,13.53658537,2141,12441,0,0.038246269,5,Benign
Benign,43,12.74418605,2141,12446,0,0.036018957,4,Benign
Benign,41,13,2025,12041,0,0.031472081,3,Benign
Benign,41,11.24390244,1821,10614,0,0.045331894,4,Benign
Benign,41,13.82926829,2104,12543,0,0.034365924,4,Benign
Benign,41,13.43902439,2141,12405,0,0.038246269,5,Benign
Benign,43,12.69767442,2141,12429,0,0.036018957,4,Benign
Benign,44,12.59090909,2105,12344,0,0.031676413,3,Benign
Benign,41,11.24390244,1821,10619,0,0.045331894,4,Benign
Benign,42,13.61904762,2137,12666,0,0.034285714,4,Benign
Benign,41,13.31707317,2141,12379,0,0.038246269,5,Benign
Benign,43,12.69767442,2141,12425,0,0.036018957,4,Benign
Benign,43,12.95348837,2104,12357,0,0.031676413,3,Benign
Benign,41,11.09756098,1821,10603,0,0.045331894,4,Benign
Benign,41,13.36585366,2141,12374,0,0.038246269,5,Benign
Benign,43,12.74418605,2141,12424,0,0.036018957,4,Benign
Benign,43,12.93023256,2104,12332,0,0.031676413,3,Benign
Benign,41,11.09756098,1821,10576,0,0.045331894,4,Benign
Benign,42,13.30952381,2136,12568,0,0.034302049,4,Benign
Benign,41,13.12195122,2141,12355,0,0.038246269,5,Benign
Benign,43,12.69767442,2141,12420,0,0.036018957,4,Benign
Benign,43,12.93023256,2104,12330,0,0.031676413,3,Benign
Benign,41,11.09756098,1821,10565,0,0.045331894,4,Benign
Benign,41,13.07317073,2141,12346,0,0.038246269,5,Benign
Benign,43,12.65116279,2141,12417,0,0.036018957,4,Benign
Benign,43,12.95348837,2104,12332,0,0.031676413,3,Benign
Benign,41,11.04878049,1821,10471,0,0.045331894,4,Benign
Benign,41,13.04878049,2141,12348,0,0.038246269,5,Benign
Benign,43,12.60465116,2141,12405,0,0.036018957,4,Benign
Benign,43,12.81395349,2104,12316,0,0.031676413,3,Benign
Benign,48,11.0625,2148,11765,0,0.03690205,13,Benign
Benign,44,12.75,2129,12417,0,0.025059102,5,Benign
Benign,42,13.07142857,2068,11899,0,0.025653675,3,Benign
Benign,42,10.69047619,1813,10645,0,0.040326975,4,Benign
